county,state,county_fips,state_fips
Aleutians East,AK,013,02
Aleutians West,AK,016,02
Anchorage,AK,020,02
Bethel,AK,050,02
Bristol Bay,AK,060,02
Denali,AK,068,02
Dillingham,AK,070,02
Fairbanks North Star,AK,090,02
Haines,AK,100,02
Juneau,AK,110,02
Kenai Peninsula,AK,122,02
Ketchikan Gateway,AK,130,02
Kodiak Island,AK,150,02
Lake and Peninsula,AK,164,02
Matanuska-Susitna,AK,170,02
Nome,AK,180,02
North Slope,AK,185,02
Northwest Arctic,AK,188,02
Prince of Wales-Outer Ketchika,Prince of Wales-Outer Ketchika,201,02
Sitka,AK,220,02
Skagway-Hoonah-Angoon,AK,232,02
Southeast Fairbanks,AK,240,02
Valdez-Cordova,AK,261,02
Wade Hampton,AK,270,02
Wrangell-Petersburg,AK,280,02
Yakutat,AK,282,02
Yukon-Koyukuk,AK,290,02
Autauga,AL,001,01
Baldwin,AL,003,01
Barbour,AL,005,01
Bibb,AL,007,01
Blount,AL,009,01
Bullock,AL,011,01
Butler,AL,013,01
Calhoun,AL,015,01
Chambers,AL,017,01
Cherokee,AL,019,01
Chilton,AL,021,01
Choctaw,AL,023,01
Clarke,AL,025,01
Clay,AL,027,01
Cleburne,AL,029,01
Coffee,AL,031,01
Colbert,AL,033,01
Conecuh,AL,035,01
Coosa,AL,037,01
Covington,AL,039,01
Crenshaw,AL,041,01
Cullman,AL,043,01
Dale,AL,045,01
Dallas,AL,047,01
De Kalb,AL,049,01
Elmore,AL,051,01
Escambia,AL,053,01
Etowah,AL,055,01
Fayette,AL,057,01
Franklin,AL,059,01
Geneva,AL,061,01
Greene,AL,063,01
Hale,AL,065,01
Henry,AL,067,01
Houston,AL,069,01
Jackson,AL,071,01
Jefferson,AL,073,01
Lamar,AL,075,01
Lauderdale,AL,077,01
Lawrence,AL,079,01
Lee,AL,081,01
Limestone,AL,083,01
Lowndes,AL,085,01
Macon,AL,087,01
Madison,AL,089,01
Marengo,AL,091,01
Marion,AL,093,01
Marshall,AL,095,01
Mobile,AL,097,01
Monroe,AL,099,01
Montgomery,AL,101,01
Morgan,AL,103,01
Perry,AL,105,01
Pickens,AL,107,01
Pike,AL,109,01
Randolph,AL,111,01
Russell,AL,113,01
St. Clair,AL,115,01
Shelby,AL,117,01
Sumter,AL,119,01
Talladega,AL,121,01
Tallapoosa,AL,123,01
Tuscaloosa,AL,125,01
Walker,AL,127,01
Washington,AL,129,01
Wilcox,AL,131,01
Winston,AL,133,01
Apache,AZ,001,04
Cochise,AZ,003,04
Coconino,AZ,005,04
Gila,AZ,007,04
Graham,AZ,009,04
Greenlee,AZ,011,04
La Paz,AZ,012,04
Maricopa,AZ,013,04
Mohave,AZ,015,04
Navajo,AZ,017,04
Pima,AZ,019,04
Pinal,AZ,021,04
Santa Cruz,AZ,023,04
Yavapai,AZ,025,04
Yuma,AZ,027,04
Arkansas,AR,001,05
Ashley,AR,003,05
Baxter,AR,005,05
Benton,AR,007,05
Boone,AR,009,05
Bradley,AR,011,05
Calhoun,AR,013,05
Carroll,AR,015,05
Chicot,AR,017,05
Clark,AR,019,05
Clay,AR,021,05
Cleburne,AR,023,05
Cleveland,AR,025,05
Columbia,AR,027,05
Conway,AR,029,05
Craighead,AR,031,05
Crawford,AR,033,05
Crittenden,AR,035,05
Cross,AR,037,05
Dallas,AR,039,05
Desha,AR,041,05
Drew,AR,043,05
Faulkner,AR,045,05
Franklin,AR,047,05
Fulton,AR,049,05
Garland,AR,051,05
Grant,AR,053,05
Greene,AR,055,05
Hempstead,AR,057,05
Hot Spring,AR,059,05
Howard,AR,061,05
Independence,AR,063,05
Izard,AR,065,05
Jackson,AR,067,05
Jefferson,AR,069,05
Johnson,AR,071,05
Lafayette,AR,073,05
Lawrence,AR,075,05
Lee,AR,077,05
Lincoln,AR,079,05
Little River,AR,081,05
Logan,AR,083,05
Lonoke,AR,085,05
Madison,AR,087,05
Marion,AR,089,05
Miller,AR,091,05
Mississippi,AR,093,05
Monroe,AR,095,05
Montgomery,AR,097,05
Nevada,AR,099,05
Newton,AR,101,05
Ouachita,AR,103,05
Perry,AR,105,05
Phillips,AR,107,05
Pike,AR,109,05
Poinsett,AR,111,05
Polk,AR,113,05
Pope,AR,115,05
Prairie,AR,117,05
Pulaski,AR,119,05
Randolph,AR,121,05
St. Francis,AR,123,05
Saline,AR,125,05
Scott,AR,127,05
Searcy,AR,129,05
Sebastian,AR,131,05
Sevier,AR,133,05
Sharp,AR,135,05
Stone,AR,137,05
Union,AR,139,05
Van Buren,AR,141,05
Washington,AR,143,05
White,AR,145,05
Woodruff,AR,147,05
Yell,AR,149,05
Alameda,CA,001,06
Alpine,CA,003,06
Amador,CA,005,06
Butte,CA,007,06
Calaveras,CA,009,06
Colusa,CA,011,06
Contra Costa,CA,013,06
Del Norte,CA,015,06
El Dorado,CA,017,06
Fresno,CA,019,06
Glenn,CA,021,06
Humboldt,CA,023,06
Imperial,CA,025,06
Inyo,CA,027,06
Kern,CA,029,06
Kings,CA,031,06
Lake,CA,033,06
Lassen,CA,035,06
Los Angeles,CA,037,06
Madera,CA,039,06
Marin,CA,041,06
Mariposa,CA,043,06
Mendocino,CA,045,06
Merced,CA,047,06
Modoc,CA,049,06
Mono,CA,051,06
Monterey,CA,053,06
Napa,CA,055,06
Nevada,CA,057,06
Orange,CA,059,06
Placer,CA,061,06
Plumas,CA,063,06
Riverside,CA,065,06
Sacramento,CA,067,06
San Benito,CA,069,06
San Bernardino,CA,071,06
San Diego,CA,073,06
San Francisco,CA,075,06
San Joaquin,CA,077,06
San Luis Obispo,CA,079,06
San Mateo,CA,081,06
Santa Barbara,CA,083,06
Santa Clara,CA,085,06
Santa Cruz,CA,087,06
Shasta,CA,089,06
Sierra,CA,091,06
Siskiyou,CA,093,06
Solano,CA,095,06
Sonoma,CA,097,06
Stanislaus,CA,099,06
Sutter,CA,101,06
Tehama,CA,103,06
Trinity,CA,105,06
Tulare,CA,107,06
Tuolumne,CA,109,06
Ventura,CA,111,06
Yolo,CA,113,06
Yuba,CA,115,06
